h= 144, ax= 3.2558078, ay= 8.747531799999999, az= 3.92266
h= 133, ax= 3.6088471999999996, ay= 8.5513988, az= 5.5701772
h= 137, ax= 4.1972461999999995, ay= 7.9237732, az= 5.5701772
h= 140, ax= 5.6094038, ay= 8.0022264, az= 5.4917240000000005
h= 139, ax= 5.88399, ay= 12.2386992, az= 3.4127142
h= 141, ax= 4.785645199999999, ay= 10.6304086, az= 1.9221034
h= 142, ax= 6.001669799999999, ay= 15.0237878, az= 3.0596748
h= 134, ax= 3.6873004, ay= 11.179581, az= 4.6679654
h= 131, ax= -0.0392266, ay= 7.3353741999999995, az= 0.8629851999999999
h= 135, ax= -0.1569064, ay= 9.9635564, az= 5.0210048
h= 135, ax= 2.8243152, ay= 7.8845466, az= 6.668522
h= 141, ax= 1.569064, ay= 9.8851032, az= 6.001669799999999
h= 145, ax= 3.530394, ay= 8.316039199999999, az= 3.4127142
h= 147, ax= 3.530394, ay= 6.4331624, az= 1.2160246
h= 148, ax= 2.2751428, ay= 13.0624578, az= 0.3138128
h= 143, ax= -4.6287388, ay= 8.9828914, az= 4.5502856
h= 132, ax= -1.7259703999999998, ay= 8.8652116, az= 4.5502856
h= 133, ax= 1.1375714, ay= 10.0420096, az= 2.8243152
h= 137, ax= 0.7060788, ay= 9.3359308, az= 2.6281822
h= 139, ax= 0.7060788, ay= 9.8851032, az= 2.7066354
h= 132, ax= 1.9221034, ay= 7.5315072, az= 4.0403398
h= 137, ax= 1.1375714, ay= 11.414940599999998, az= 1.765197
h= 135, ax= -1.9221034, ay= 8.4729456, az= 3.138128
h= 129, ax= -3.0989014, ay= 9.414383999999998, az= 3.92266
h= 133, ax= 2.1182364, ay= 12.4740588, az= 1.3729310000000001
h= 140, ax= 0.3530394, ay= 7.7276402, az= 2.6674088
h= 132, ax= 1.4121576, ay= 8.394492399999999, az= 3.4519407999999996
h= 142, ax= 1.4121576, ay= 9.610517, az= 4.6287388
h= 134, ax= 0.3530394, ay= 8.5513988, az= 3.726527
h= 145, ax= 1.3337044, ay= 11.179581, az= 5.4917240000000005
h= 157, ax= 1.9221034, ay= 6.354709199999999, az= 7.8060934
h= 164, ax= 1.1375714, ay= 7.6491869999999995, az= 6.276256
h= 160, ax= 3.0204481999999997, ay= 6.472389, az= 7.5315072
h= 165, ax= -1.765197, ay= 8.9828914, az= 5.1779112
h= 162, ax= -1.196133, ay= 14.5530686, az= 5.118792999999999
h= 160, ax= -6.668522, ay= 14.082349399999998, az= -2.6281822
h= 149, ax= -0.392266, ay= 9.649743599999999, az= 3.4911673999999997
h= 161, ax= -0.1569064, ay= 9.571290399999999, az= 4.2364728
h= 158, ax= 0.9022117999999999, ay= 9.022118, az= 6.354709199999999
h= 159, ax= 3.4519407999999996, ay= 7.178467799999999, az= 8.4729456
h= 154, ax= -2.7066354, ay= 10.0812362, az= 2.3143694
h= 163, ax= -2.3143694, ay= 9.845876599999999, az= 2.1182364
h= 155, ax= -1.196133, ay= 9.5320638, az= 0.6276256
h= 162, ax= 0.2745862, ay= 7.9629998, az= 3.5696205999999995
h= 163, ax= 3.1767979999999998, ay= 8.0806796, az= 6.276256
h= 167, ax= -7.668522, ay= 14.082349399999998, az= -3.9981822
h= 168, ax= -8.5513988, ay= -5.0602314, az= -1.8828768
h= 184, ax= -12.5132854, ay= -2.2751428, az= 0.8237586
h= 183, ax= -8.7083052, ay= 2.3535959999999996, az= -10.0812362
h= 182, ax= -8.1591328, ay= -1.0198916, az= -6.276256
h= 171, ax= -9.9635564, ay= 7.8060934, az= 3.0989014
h= 172, ax= -12.5132854, ay= 10.4342756, az= 2.2751428
h= 168, ax= -6.3939357999999995, ay= 5.295591, az= -0.1176798
h= 173, ax= -3.6873004, ay= 6.786201800000001, az= -2.941995
h= 172, ax= -4.707191999999999, ay= 4.8640984, az= -4.3541526
h= 177, ax= -8.9436648, ay= 8.747531799999999, az= 2.1182364
h= 170, ax= -9.9635564, ay= 7.5707338, az= 3.530394
h= 170, ax= -8.041453, ay= 7.453054, az= -0.980665
h= 169, ax= -9.492837199999999, ay= 12.356378999999999, az= 1.1375714
h= 177, ax= -10.1596894, ay= 10.983448000000001, az= 3.4127142
h= 169, ax= -7.9237732, ay= -0.3138128, az= -2.941995
h= 187, ax= -5.8447634, ay= -12.6701918, az= 0.8237586
h= 193, ax= -7.6491869999999995, ay= 6.040896399999999, az= 0.196133
h= 191, ax= -12.003339599999999, ay= -17.181250799999997, az= -14.239255799999999
h= 189, ax= -11.2188076, ay= 5.727083599999999, az= -0.2745862
h= 194, ax= -5.2563644, ay= 3.138128, az= 3.138128
h= 192, ax= -4.0011132, ay= -14.906108, az= -3.8049801999999997
h= 192, ax= -9.845876599999999, ay= 2.5105024, az= -2.6674088
h= 181, ax= -6.472389, ay= -1.8828768, az= 0.8237586
h= 193, ax= -9.845876599999999, ay= 0.392266, az= -2.4320492
h= 186, ax= -5.7663101999999995, ay= 7.296147599999999, az= -3.7657536
h= 180, ax= -8.0022264, ay= -10.7480884, az= -16.3967188
h= 194, ax= -15.494507, ay= 7.5315072, az= 12.0425662
h= 182, ax= -12.8663248, ay= 1.4121576, az= 3.5696205999999995
h= 193, ax= -13.198916, ay= 16.7105316, az= 6.4917240000000005
h= 193, ax= -12.787315, ay= 3.9221034, az= 4.0403398
h= 133, ax= 3.6088471999999996, ay= 8.5513988, az= 5.5701772
h= 137, ax= 4.1972461999999995, ay= 7.9237732, az= 5.5701772
h= 140, ax= 5.6094038, ay= 8.0022264, az= 5.4917240000000005
h= 139, ax= 5.88399, ay= 12.2386992, az= 3.4127142
h= 141, ax= 4.785645199999999, ay= 10.6304086, az= 1.9221034
h= 145, ax= 5.6094038, ay= 8.0022264, az= 5.4917240000000005
h= 154, ax= -2.7066354, ay= 10.0812362, az= 2.3143694
h= 163, ax= -2.3143694, ay= 9.845876599999999, az= 2.1182364
h= 165, ax= -1.196133, ay= 9.5320638, az= 0.6276256
h= 162, ax= 0.2745862, ay= 7.9629998, az= 3.5696205999999995
h= 163, ax= 3.176795889999998, ay= 8.0806796, az= 6.276256
h= 167, ax= -7.23668522, ay= 14.08234999998, az= -3.9981822
h= 168, ax= -8.5513988, ay= -5.0602314, az= -1.8828768
h= 184, ax= -2.5132854, ay= -12.2751428, az= 0.8237586
h= 183, ax= -8.7083052, ay= 2.3535959999999996, az= -10.0812362
h= 182, ax= -8.1591328, ay= -1.0198916, az= -6.276256
h= 171, ax= -9.9635564, ay= 7.8060934, az= 3.0989014
h= 180, ax= -9.8922264, ay= -10.7480884, az= -16.3967188
h= 194, ax= -18.4476307, ay= 8.5875072, az= 2.7849662
h= 182, ax= -12.8663248, ay= 1.4121576, az= 7.5695673
h= 193, ax= -13.198916, ay= 16.7105316, az= 5.4953200005
h= 193, ax= -12.724515, ay= 13.9221034, az= 2.0403398
h= 198, ax= -12.2563644, ay= 9.138128, az= 3.138128
h= 198, ax= -15.5589943, ay= 13.56724, az= 6.678678
