ax= 0.2745862, ay= 9.924329799999999, az= 2.157463
ax= 0.2745862, ay= 9.924329799999999, az= 2.157463
ax= 0.2745862, ay= 9.924329799999999, az= 2.157463
ax= 0.3138128, ay= 9.924329799999999, az= 2.1966896
ax= 0.2745862, ay= 9.924329799999999, az= 2.1966896
ax= 0.2745862, ay= 9.9635564, az= 2.1966896
ax= 0.2745862, ay= 9.924329799999999, az= 2.1182364
ax= 0.3138128, ay= 9.9635564, az= 2.157463
ax= 0.5099458, ay= 9.9635564, az= 2.1182364
ax= 0.2353596, ay= 10.002782999999999, az= 2.1182364
ax= 0.2353596, ay= 10.002782999999999, az= 1.8828768
ax= 0.196133, ay= 10.002782999999999, az= 1.9221034
ax= 0.196133, ay= 10.002782999999999, az= 1.8828768
ax= 0.2353596, ay= 9.9635564, az= 1.8436502
ax= 1.1375714, ay= 11.061901200000001, az= -0.1569064
ax= 0.6276256, ay= 10.3558224, az= 2.0397832
ax= 0.2353596, ay= 9.9635564, az= 1.9221034
ax= 0.196133, ay= 10.002782999999999, az= 1.8436502
ax= 0.196133, ay= 10.002782999999999, az= 1.8044235999999998
ax= 0.1569064, ay= 10.002782999999999, az= 1.8436502
